packet_id,snr_db,tx_time,rx_time,hops_used
312,7.25,1781084336.4232209,1781084337.220721,0
313,2.25,1781084337.528341,1781084338.315362,0
314,6.5,1781084338.6338592,1781084339.403266,0
315,6.0,1781084339.742027,1781084340.591563,0
316,5.0,1781084340.849949,1781084341.620718,0
317,1.5,1781084341.95599,1781084342.715028,0
318,6.75,1781084343.061723,1781084343.855988,0
319,6.25,1781084344.1730812,1781084345.002794,0
320,7.25,1781084345.283487,1781084346.087177,0
321,7.75,1781084346.394492,1781084347.166534,0
322,6.5,1781084347.5008378,1781084348.297737,0
323,4.0,1781084348.612169,1781084349.4389372,0
324,0.75,1781084349.720855,1781084350.514158,0
325,0.25,1781084350.832787,1781084351.617494,0
326,3.75,1781084351.942368,1781084352.77021,0
327,10.5,1781084353.053895,1781084354.0036988,1
328,0.75,1781084354.165511,1781084354.932965,0
329,3.75,1781084355.275598,1781084356.038241,0
330,4.5,1781084356.3872,1781084357.226818,0
331,10.75,1781084357.495938,1781084358.443629,1
332,4.25,1781084358.604713,1781084359.4571068,0
333,6.0,1781084359.706617,1781084360.477247,0
334,5.75,1781084360.812222,1781084361.589799,0
335,5.5,1781084361.914861,1781084362.7392051,0
336,1.0,1781084363.0264041,1781084363.874849,0
337,-0.75,1781084364.137888,1781084364.940864,0
338,10.75,1781084365.249517,1781084366.238212,1
339,6.75,1781084366.351786,1781084367.120646,0
340,3.75,1781084367.463419,1781084368.29464,0
341,3.25,1781084368.572615,1781084369.4150012,0
342,4.25,1781084369.684225,1781084370.447693,0
343,4.5,1781084370.795779,1781084371.561503,0
344,4.5,1781084371.906382,1781084372.701979,0
345,2.25,1781084373.012038,1781084373.8180962,0
346,3.0,1781084374.12313,1781084374.939113,0
347,4.0,1781084375.2288241,1781084376.022814,0
348,-3.75,1781084376.338274,1781084377.13817,0
349,3.0,1781084377.442556,1781084378.231762,0
350,10.75,1781084378.550685,1781084379.5325599,1
351,-3.75,1781084379.656043,1781084380.518487,0
352,4.25,1781084380.761482,1781084381.522857,0
353,4.0,1781084381.871664,1781084382.632241,0
354,1.0,1781084382.9809,1781084383.761826,0
355,-3.0,1781084384.085877,1781084384.8515048,0
356,-0.75,1781084385.1926348,1781084386.0177732,0
357,-0.25,1781084386.298372,1781084387.071004,0
358,-0.75,1781084387.4033642,1781084388.2003882,0
359,-4.0,1781084388.508758,1781084389.275122,0
360,-0.25,1781084389.615625,1781084390.402787,0
361,11.25,1781084390.722656,1781084391.7051039,1
362,11.25,1781084391.83184,1781084392.801007,1
363,-0.75,1781084392.94256,1781084393.72701,0
364,0.25,1781084394.054275,1781084394.806274,0
365,4.25,1781084395.162496,1781084395.942732,0
366,2.25,1781084396.2744849,1781084397.09494,0
367,2.75,1781084397.3861902,1781084398.1473439,0
368,4.5,1781084398.498006,1781084399.2683442,0
369,3.25,1781084399.601044,1781084400.442417,0
370,0.25,1781084400.71216,1781084401.5014431,0
371,3.5,1781084401.8211598,1781084402.601473,0
372,-1.75,1781084402.932449,1781084403.704347,0
373,-1.25,1781084404.043991,1781084404.8203058,0
374,10.0,1781084405.1555068,1781084406.1379268,1
375,3.0,1781084406.2650602,1781084407.030869,0
376,-6.0,1781084407.376652,1781084408.148635,0
377,5.0,1781084408.4882848,1781084409.2575948,0
378,1.0,1781084409.5988789,1781084410.360111,0
379,1.5,1781084410.710423,1781084411.555237,0
380,4.25,1781084411.812887,1781084412.6101718,0
381,6.0,1781084412.924438,1781084413.71742,0
382,6.25,1781084414.031681,1781084414.794722,0
383,5.5,1781084415.138127,1781084415.909321,0
384,7.5,1781084416.245604,1781084417.033141,0
385,6.0,1781084417.353251,1781084418.122143,0
386,3.75,1781084418.459279,1781084419.223658,0
387,4.75,1781084419.566101,1781084420.347065,0
388,4.75,1781084420.677184,1781084421.450515,0
389,6.0,1781084421.788756,1781084422.617704,0
390,5.0,1781084422.900368,1781084423.664306,0
391,4.75,1781084424.011992,1781084424.84397,0
392,4.75,1781084425.121761,1781084425.920168,0
393,4.75,1781084426.233061,1781084427.066883,0
394,3.5,1781084427.34413,1781084428.130131,0
395,2.75,1781084428.450461,1781084429.249235,0
396,3.25,1781084429.561332,1781084430.3597708,0
397,3.0,1781084430.672468,1781084431.4440682,0
398,4.5,1781084431.77838,1781084432.545032,0
399,7.5,1781084432.88993,1781084433.652074,0
400,6.25,1781084433.997503,1781084434.7733061,0
1,-1.75,1781084627.318023,1781084628.267338,0
2,1.5,1781084627.920637,1781084628.7885618,0
3,3.25,1781084628.52433,1781084629.389685,0
4,0.5,1781084629.136022,1781084630.022152,0
5,1.75,1781084629.743825,1781084630.6076071,0
6,2.75,1781084630.3462899,1781084631.177134,0
7,3.75,1781084630.950589,1781084631.7521431,0
8,-1.5,1781084631.552429,1781084632.3985531,0
9,3.25,1781084632.153795,1781084633.011394,0
10,4.5,1781084632.757092,1781084633.598731,0
11,2.25,1781084633.358707,1781084634.160484,0
12,2.25,1781084633.961501,1781084634.769685,0
13,3.25,1781084634.568634,1781084635.34483,0
14,3.0,1781084635.177595,1781084635.971503,0
15,5.25,1781084635.78032,1781084636.5760388,0
16,3.5,1781084636.384904,1781084637.229883,0
17,3.0,1781084636.98853,1781084637.84429,0
18,-0.75,1781084637.592522,1781084638.44893,0
19,1.25,1781084638.197515,1781084638.989443,0
20,4.75,1781084638.801589,1781084639.6301498,0
21,4.75,1781084639.406077,1781084640.272865,0
22,3.75,1781084640.011383,1781084640.893044,0
23,5.0,1781084640.617335,1781084641.505077,0
24,4.5,1781084641.224538,1781084642.109566,0
25,0.25,1781084641.836211,1781084642.716149,0
26,-2.75,1781084642.443273,1781084643.317877,0
27,-2.75,1781084643.047264,1781084643.865393,0
28,-2.0,1781084643.6513999,1781084644.524844,0
29,-0.25,1781084644.255316,1781084645.120144,0
30,-1.75,1781084644.856975,1781084645.7275782,0
31,11.25,1781084645.46124,1781084646.457637,1
33,0.75,1781084646.6666691,1781084647.544925,0
34,0.75,1781084647.275388,1781084648.145937,0
35,10.0,1781084647.8794801,1781084648.9314198,1
36,-3.75,1781084648.486965,1781084649.359927,0
37,8.5,1781084649.095534,1781084650.1002839,1
38,7.75,1781084649.699522,1781084650.756779,1
39,-1.5,1781084650.3060548,1781084651.170787,0
40,8.0,1781084650.911123,1781084651.930292,1
41,-2.25,1781084651.513427,1781084652.353665,0
42,-3.0,1781084652.114909,1781084652.912498,0
43,-0.75,1781084652.72192,1781084653.508137,0
44,-1.5,1781084653.329123,1781084654.132641,0
45,10.25,1781084653.9349,1781084654.887904,1
46,10.25,1781084654.546486,1781084655.487191,1
47,10.75,1781084655.1496162,1781084656.145083,1
48,10.25,1781084655.751385,1781084656.7786088,1
49,-1.5,1781084656.353439,1781084657.211712,0
51,-4.5,1781084657.560447,1781084658.4145489,0
52,-2.5,1781084658.163705,1781084658.948885,0
53,-3.0,1781084658.771762,1781084659.553608,0
54,1.0,1781084659.38024,1781084660.1892931,0
55,1.25,1781084659.98188,1781084660.787439,0
56,2.0,1781084660.5865679,1781084661.3595672,0
57,0.75,1781084661.193312,1781084661.972321,0
58,0.25,1781084661.799735,1781084662.599877,0
59,-2.75,1781084662.402148,1781084663.211859,0
60,-2.75,1781084663.006836,1781084663.863213,0
61,0.5,1781084663.610802,1781084664.409479,0
62,-0.5,1781084664.2165608,1781084664.997333,0
63,-1.0,1781084664.824506,1781084665.5975502,0
64,-3.5,1781084665.4289012,1781084666.2511842,0
65,-0.75,1781084666.0354161,1781084666.890122,0
66,-2.5,1781084666.638916,1781084667.488207,0
68,-2.5,1781084667.8479722,1781084668.6445498,0
69,-1.0,1781084668.449858,1781084669.308703,0
70,1.25,1781084669.051892,1781084669.909119,0
71,0.25,1781084669.659499,1781084670.539177,0
72,2.0,1781084670.2642932,1781084671.153964,0
73,1.5,1781084670.870711,1781084671.6621928,0
74,0.75,1781084671.472426,1781084672.356572,0
75,2.5,1781084672.0813482,1781084672.958912,0
76,3.25,1781084672.6838772,1781084673.604209,0
77,0.75,1781084673.28768,1781084674.138693,0
78,-3.5,1781084673.898891,1781084674.7825952,0
79,-0.5,1781084674.5028071,1781084675.434477,0
80,1.0,1781084675.10756,1781084676.006798,0
81,3.25,1781084675.71247,1781084676.594908,0
82,3.25,1781084676.3218088,1781084677.188108,0
83,1.75,1781084676.9247308,1781084677.775521,0
85,0.25,1781084678.134611,1781084678.987704,0
86,1.0,1781084678.736365,1781084679.7146308,0
87,-1.5,1781084679.343034,1781084680.2367082,0
88,-0.25,1781084679.954533,1781084680.8381178,0
89,2.0,1781084680.562897,1781084681.430381,0
90,0.25,1781084681.16958,1781084682.049422,0
91,3.25,1781084681.775958,1781084682.631351,0
92,4.0,1781084682.380237,1781084683.2779148,0
93,1.25,1781084682.986211,1781084683.8634188,0
94,1.5,1781084683.592997,1781084684.4652631,0
95,2.25,1781084684.197331,1781084685.0403168,0
96,-5.25,1781084684.7985122,1781084685.674638,0
97,-2.0,1781084685.4101639,1781084686.285057,0
98,10.75,1781084686.013184,1781084726.957118,1
1,11.5,1781084796.904799,1781084797.936834,1
2,-1.0,1781084797.509564,1781084798.3701088,0
3,-2.25,1781084798.117415,1781084798.975051,0
4,0.25,1781084798.724212,1781084799.564095,0
5,1.0,1781084799.335658,1781084800.140589,0
6,-3.25,1781084799.937257,1781084800.771439,0
7,11.75,1781084800.544919,1781084801.546942,1
8,11.5,1781084801.1516669,1781084802.091611,1
9,-2.75,1781084801.759423,1781084802.5701828,0
